batchNum,accuracy_spam_1,precision_spam_1,recall_spam_1,accuracy_spam_0,precision_spam_0,recall_spam_0
1,0.58,0.5578947368421052,1.0,0.42,0.4421052631578947,0.8936170212765957
2,0.66,0.6179775280898876,1.0,0.34,0.38202247191011235,0.7555555555555555
3,0.59,0.5638297872340425,1.0,0.41,0.43617021276595747,0.8723404255319149
4,0.6,0.5604395604395604,1.0,0.4,0.43956043956043955,0.8163265306122449
5,0.58,0.5333333333333333,1.0,0.42,0.4666666666666667,0.8076923076923077
6,0.63,0.5978260869565217,1.0,0.37,0.40217391304347827,0.8222222222222222
7,0.58,0.5434782608695652,1.0,0.42,0.45652173913043476,0.84
8,0.71,0.6081081081081081,1.0,0.29,0.3918918918918919,0.5272727272727272
9,0.73,0.6785714285714286,1.0,0.27,0.32142857142857145,0.627906976744186
10,0.74,0.6338028169014085,1.0,0.26,0.36619718309859156,0.4727272727272727
11,0.75,0.6951219512195121,1.0,0.25,0.3048780487804878,0.5813953488372093
12,0.81,0.7397260273972602,1.0,0.19,0.2602739726027397,0.41304347826086957
13,0.79,0.6865671641791045,1.0,0.21,0.31343283582089554,0.3888888888888889
14,0.81,0.703125,1.0,0.19,0.296875,0.34545454545454546
15,0.79,0.7083333333333334,1.0,0.21,0.2916666666666667,0.42857142857142855
16,0.84,0.7837837837837838,1.0,0.16,0.21621621621621623,0.38095238095238093
17,0.84,0.7538461538461538,1.0,0.16,0.24615384615384617,0.3137254901960784
18,0.89,0.8307692307692308,1.0,0.11,0.16923076923076924,0.2391304347826087
19,0.88,0.8181818181818182,1.0,0.12,0.18181818181818182,0.2608695652173913
20,0.9,0.8360655737704918,1.0,0.1,0.16393442622950818,0.20408163265306123
21,0.9,0.8214285714285714,1.0,0.1,0.17857142857142858,0.18518518518518517
22,0.93,0.8653846153846154,1.0,0.07,0.1346153846153846,0.12727272727272726
23,0.9,0.8507462686567164,1.0,0.1,0.14925373134328357,0.23255813953488372
24,0.95,0.9122807017543859,1.0,0.05,0.08771929824561403,0.10416666666666667
25,0.98,0.9565217391304348,1.0,0.02,0.043478260869565216,0.03571428571428571
26,0.94,0.8983050847457628,1.0,0.06,0.1016949152542373,0.1276595744680851
27,0.96,0.9215686274509803,1.0,0.04,0.0784313725490196,0.07547169811320754
28,0.96,0.9354838709677419,1.0,0.04,0.06451612903225806,0.09523809523809523
29,0.94,0.90625,1.0,0.06,0.09375,0.14285714285714285
30,0.98,0.9636363636363636,1.0,0.02,0.03636363636363636,0.0425531914893617
31,1.0,1.0,1.0,0.0,0.0,0.0
32,0.99,0.9824561403508771,1.0,0.01,0.017543859649122806,0.022727272727272728
33,0.98,0.9655172413793104,1.0,0.02,0.034482758620689655,0.045454545454545456
34,0.97,0.9464285714285714,1.0,0.03,0.05357142857142857,0.06382978723404255
35,0.96,0.9310344827586207,1.0,0.04,0.06896551724137931,0.08695652173913043
36,0.91,0.8571428571428571,1.0,0.09,0.14285714285714285,0.1956521739130435
37,0.95,0.9152542372881356,1.0,0.05,0.0847457627118644,0.10869565217391304
38,0.98,0.9666666666666667,1.0,0.02,0.03333333333333333,0.047619047619047616
39,0.96,0.9259259259259259,1.0,0.04,0.07407407407407407,0.08
