BatchNum,Accuracy,Precision,Recall
1,0.47,0.0,0.0
2,0.45,0.0,0.0
3,0.47,0.0,0.0
4,0.49,0.0,0.0
5,0.59,0.8888888888888888,0.16666666666666666
6,0.6,0.9411764705882353,0.2909090909090909
7,0.63,0.9333333333333333,0.28
8,0.79,1.0,0.5333333333333333
9,0.85,0.9772727272727273,0.7543859649122807
10,0.89,0.9473684210526315,0.8
11,0.89,0.9423076923076923,0.8596491228070176
12,0.93,0.9607843137254902,0.9074074074074074
13,0.89,0.926829268292683,0.8260869565217391
14,0.89,0.9047619047619048,0.8444444444444444
15,0.97,0.9444444444444444,1.0
16,0.96,0.9354838709677419,1.0
17,0.97,0.9423076923076923,1.0
18,0.91,0.8571428571428571,1.0
19,0.93,0.8852459016393442,1.0
20,0.98,0.9622641509433962,1.0
21,0.95,0.9019607843137255,1.0
22,0.93,0.8653846153846154,1.0
23,0.96,0.9344262295081968,1.0
24,0.95,0.9122807017543859,1.0
25,0.96,0.9166666666666666,1.0
26,0.93,0.8833333333333333,1.0
27,0.93,0.8703703703703703,1.0
28,0.94,0.90625,1.0
29,0.94,0.90625,1.0
30,0.97,0.9464285714285714,1.0
31,0.99,0.9846153846153847,1.0
32,0.98,0.9655172413793104,1.0
33,0.99,0.9824561403508771,1.0
34,0.97,0.9464285714285714,1.0
35,0.96,0.9310344827586207,1.0
36,0.9,0.84375,1.0
37,0.91,0.8571428571428571,1.0
38,0.97,0.9508196721311475,1.0
39,0.95,0.9090909090909091,1.0
40,0.98,0.9636363636363636,1.0
41,0.96,0.9259259259259259,1.0
42,0.97,0.9464285714285714,1.0
43,0.94,0.8947368421052632,1.0
44,0.95,0.9122807017543859,1.0
45,0.94,0.8867924528301887,1.0
46,0.96,0.9259259259259259,1.0
47,0.94,0.8867924528301887,1.0
48,0.98,0.9615384615384616,1.0
49,0.95,0.9193548387096774,1.0
50,0.97,0.9482758620689655,1.0
51,0.99,0.9803921568627451,1.0
52,0.95,0.9090909090909091,1.0
53,0.98,0.9607843137254902,1.0
54,0.97,0.95,1.0
55,0.95,0.8979591836734694,1.0
56,0.97,0.9361702127659575,1.0
57,0.95,0.8888888888888888,1.0
58,1.0,1.0,1.0
59,0.99,0.9811320754716981,1.0
60,0.96,0.9230769230769231,1.0
61,0.98,0.9583333333333334,1.0
62,0.96,0.9069767441860465,1.0
63,0.985,0.9736842105263158,1.0
64,0.99,0.9821428571428571,1.0
65,0.97,0.9423076923076923,1.0
66,1.0,1.0,1.0
67,0.98,0.9574468085106383,1.0
68,0.96,0.9090909090909091,1.0
69,0.98,0.9523809523809523,1.0
70,0.99,0.9803921568627451,1.0
71,0.99,0.9814814814814815,1.0
72,0.97,0.9411764705882353,1.0
73,0.97,0.9473684210526315,1.0
74,1.0,1.0,1.0
75,0.99,0.9767441860465116,1.0
