BatchNum,Accuracy,Precision,Recall
1,0.47,0.0,0.0
2,0.45,0.0,0.0
3,0.47,0.0,0.0
4,0.49,0.0,0.0
5,0.51,0.0,0.0
6,0.45,0.0,0.0
7,0.64,1.0,0.28
8,0.78,0.96,0.5333333333333333
9,0.72,0.967741935483871,0.5263157894736842
10,0.89,0.9473684210526315,0.8
11,0.88,0.9245283018867925,0.8596491228070176
12,0.94,0.98,0.9074074074074074
13,0.9,0.95,0.8260869565217391
14,0.97,0.9375,1.0
15,0.97,0.9444444444444444,1.0
16,0.97,0.9508196721311475,1.0
17,0.96,0.9245283018867925,1.0
18,0.94,0.9,1.0
19,0.97,0.9473684210526315,1.0
20,0.95,0.9107142857142857,1.0
21,1.0,1.0,1.0
22,0.95,0.9,1.0
23,0.97,0.95,1.0
24,0.95,0.9122807017543859,1.0
25,0.97,0.9361702127659575,1.0
26,0.91,0.8548387096774194,1.0
27,0.94,0.8867924528301887,1.0
28,0.98,0.9666666666666667,1.0
29,0.95,0.9206349206349206,1.0
30,0.98,0.9636363636363636,1.0
31,0.99,0.9846153846153847,1.0
32,0.98,0.9655172413793104,1.0
33,0.96,0.9333333333333333,1.0
