BatchNum,Accuracy,Precision,Recall
1,0.96,0.9298245614035088,1.0
2,0.94,0.9016393442622951,1.0
3,0.98,0.9636363636363636,1.0
4,0.97,0.9444444444444444,1.0
5,0.97,0.9411764705882353,1.0
6,0.99,0.9821428571428571,1.0
7,0.98,0.9615384615384616,1.0
8,0.98,0.9574468085106383,1.0
9,0.97,0.95,1.0
10,0.96,0.9183673469387755,1.0
11,0.99,0.9827586206896551,1.0
12,0.98,0.9642857142857143,1.0
13,1.0,1.0,1.0
14,0.97,0.9375,1.0
15,0.97,0.9444444444444444,1.0
16,0.97,0.9508196721311475,1.0
17,0.98,0.9607843137254902,1.0
18,0.94,0.9,1.0
19,0.98,0.9642857142857143,1.0
20,0.98,0.9622641509433962,1.0
21,1.0,1.0,1.0
22,0.96,0.9183673469387755,1.0
23,0.98,0.9661016949152542,1.0
24,0.99,0.9811320754716981,1.0
25,0.97,0.9555555555555556,0.9772727272727273
26,0.97,0.9464285714285714,1.0
27,0.97,0.94,1.0
28,0.99,0.9830508474576272,1.0
29,0.95,0.9206349206349206,1.0
30,0.99,0.9814814814814815,1.0
31,1.0,1.0,1.0
32,1.0,1.0,1.0
33,1.0,1.0,1.0
