BatchNum,Accuracy,Precision,Recall
1,0.53,0.53,1.0
2,0.57,0.5612244897959183,1.0
3,0.53,0.53,1.0
4,0.72,0.6455696202531646,1.0
5,0.83,0.7384615384615385,1.0
6,0.78,0.7142857142857143,1.0
7,0.84,0.7575757575757576,1.0
8,0.97,0.9375,1.0
9,0.96,0.9344262295081968,1.0
10,0.97,0.9375,1.0
11,0.93,0.890625,1.0
12,0.95,0.9152542372881356,1.0
13,0.99,0.9787234042553191,1.0
14,0.99,0.9782608695652174,1.0
15,0.97,0.9444444444444444,1.0
16,0.95,0.9206349206349206,1.0
17,0.97,0.9423076923076923,1.0
18,0.93,0.8852459016393442,1.0
19,0.97,0.9473684210526315,1.0
20,1.0,1.0,1.0
21,1.0,1.0,1.0
22,0.92,0.9111111111111111,0.9111111111111111
23,0.98,0.9661016949152542,1.0
24,0.99,0.9811320754716981,1.0
25,0.97,0.9555555555555556,0.9772727272727273
26,0.96,0.9298245614035088,1.0
27,0.97,0.94,1.0
28,0.98,0.9666666666666667,1.0
29,0.96,0.9354838709677419,1.0
30,0.99,0.9814814814814815,1.0
31,1.0,1.0,1.0
32,0.97,0.9491525423728814,1.0
33,0.96,0.9333333333333333,1.0
